TIME1,FT101,PI101,PI102,PT101,TT101,LV101,PV101A,PV101B,FV101
12558,19335.33962,0.478736319,1.52868004,0.502097965,41.20054191,49.92900116,0,1.299011016,47.30754268
12559,19393.78729,0.478483126,1.537485544,0.503222577,41.43128477,50.01090468,0,0.929051983,47.25282402
12560,19433.17795,0.478458903,1.537347289,0.501564639,41.27290589,50.09202773,0,1.194190722,47.22607557
12561,19438.54182,0.478141946,1.533079819,0.501010638,40.78980251,50.17900365,0,0.838049934,47.2534267
12562,19311.02536,0.477814918,1.511439118,0.5012793,40.79355729,50.26740265,0,0.721728146,47.50154742
12563,19125.50269,0.477761116,1.488515932,0.501727156,40.47661677,50.35413711,0,0.787869954,47.85435152
12564,19034.99312,0.477901615,1.485475055,0.501530906,40.70582922,50.43900929,0,0.895897657,48.06092726
12565,18892.34569,0.477884291,1.471016158,0.500265803,40.6567575,50.51737382,0,0.861142625,48.36005303
12566,18831.43743,0.477689717,1.46772171,0.502058497,40.46657616,50.59128018,0,0.584281908,48.53229425
12567,18854.88819,0.477841422,1.474505008,0.502590008,40.24138371,50.66773747,0,0.989996282,48.5680602
12568,19017.59127,0.47797267,1.495961935,0.503172332,40.22719189,50.7405749,0,1.121173822,48.37060943
12569,19141.24688,0.478033021,1.503693736,0.503031283,39.82476335,50.81449738,0,1.266732905,48.22772065
12570,19309.34928,0.478073449,1.517444128,0.502125628,39.58079419,50.89137248,0,1.252374053,48.00295846
12571,19432.52029,0.477865734,1.524906092,0.503381809,39.74961174,50.97389869,0,1.064820978,47.84220355
12572,19456.64502,0.477960069,1.518985828,0.503328108,40.35653002,51.05523618,0,1.359780761,47.8383787
12573,19486.66722,0.478121872,1.52024174,0.501954412,40.09663251,51.13846834,0,1.36627108,47.82319647
12574,19580.35638,0.477958993,1.533569766,0.497337306,39.95361682,51.22101232,0,1.074807283,47.700151
12575,19666.36777,0.476807758,1.541902276,0.500242763,39.72784494,51.29936313,0,0.044399143,47.58388524
12576,19643.17917,0.476456633,1.531996047,0.503898065,39.57556486,51.37771371,0,0.684934887,47.64382353
12577,19603.24763,0.477026881,1.525270249,0.505169383,40.03705789,51.45929383,0,1.51054068,47.73310616
12578,19526.49464,0.477762263,1.51654312,0.505217004,40.17657357,51.54097933,0,1.818662284,47.88621528
12579,19524.11152,0.478396214,1.520522323,0.50486021,40.57909476,51.61765476,0,1.857832409,47.92048514
12580,19607.38966,0.478758448,1.534682021,0.508457474,40.51770943,51.69279799,0,1.806068792,47.81236717
12581,19677.97363,0.479659233,1.540533464,0.506677432,40.40963484,51.76589141,0,2.643983094,47.7200425
12582,19783.16231,0.480029868,1.550548921,0.504923458,40.3482854,51.84122737,0,2.289099639,47.56561823
12583,19833.86104,0.479932359,1.551601487,0.502183172,40.01595148,51.92024158,0,1.930304382,47.49513315
12584,19980.51481,0.479345331,1.570094154,0.502324035,40.10662035,51.998596,0,1.339449034,47.26173418
12585,20064.2817,0.478785075,1.575957394,0.502047209,40.05201014,52.07813415,0,1.383221041,47.12359313
12586,20057.14998,0.47831356,1.567818906,0.502240851,40.05404256,52.15571235,0,1.333578973,47.13134629
12587,20088.45669,0.478080615,1.572669963,0.504059503,40.02293834,52.23742658,0,1.38850492,47.07559431
12588,20012.64721,0.478205609,1.560814414,0.502766874,40.33068205,52.31758558,0,1.810935492,47.19608006
12589,19967.22748,0.478152485,1.557140421,0.50259084,40.6275313,52.39328391,0,1.541774891,47.27084907
12590,19974.9912,0.47806336,1.563149234,0.497340157,40.38068121,52.47046165,0,1.51729702,47.26002769
12591,19902.59091,0.476871562,1.55201878,0.496881775,40.72692347,52.54302,0,0.347517785,47.38210232
12592,19706.03133,0.475925026,1.524121975,0.495328864,40.40376328,52.61520985,0,0.229523434,47.71541165
12593,19532.09469,0.475030548,1.507823353,0.499008095,40.32874574,52.6893579,0.137808332,0,48.02365621
12594,19439.28351,0.475057852,1.505512066,0.498772042,40.4989571,52.75895117,0,0.666167129,48.20803995
12595,19462.39048,0.474954992,1.515370613,0.499351756,40.6944931,52.82097123,0,0.607481726,48.20547581
12596,19455.38352,0.474872906,1.512806496,0.49614786,40.36891391,52.88159361,0,0.731453438,48.2515424
12597,19502.79397,0.474207597,1.517274818,0.498791993,40.32209351,52.94412361,0,0.005409595,48.20750686
12598,19684.8737,0.474159137,1.541907911,0.494639541,40.42324069,53.01012719,0,0.580474698,47.93634738
12599,19817.22338,0.473112739,1.551445558,0.494748662,40.40804062,53.07374348,0.362547167,0,47.7362856
12600,19876.24408,0.47232291,1.549309692,0.495413375,40.23711016,53.13816896,0.367422941,0,47.64977286
12601,19877.09491,0.471903356,1.54435307,0.49497231,40.27101107,53.20866831,0.246412632,0,47.65627745
12602,19845.71128,0.471528812,1.539357496,0.498030593,40.17345692,53.27765407,0.371099176,0,47.71636574
12603,19883.67276,0.471868548,1.547870932,0.496839224,39.9067619,53.34295425,0,0.29089142,50.99107231
12604,19944.36478,0.471817592,1.556848152,0.496631087,40.03150106,53.40566064,0,0.01140598,51.02552575
12605,19951.50347,0.471693703,1.553976394,0.497878864,39.93800522,53.4664814,0.052913154,0,51.14520762
12606,20198.26493,0.471577692,1.550365628,0.495521956,39.98705944,53.52974399,0,0.209931387,50.86570033
12607,20388.24055,0.471027711,1.546806053,0.496983208,39.97329877,53.59394381,0.333217601,0,50.66489194
12608,20542.39885,0.470882513,1.544027847,0.497266809,39.85173664,53.66790338,0.028334547,0,50.51152513
12609,20556.30018,0.470858495,1.529900214,0.498289941,40.07122576,53.74115589,0,0.019025243,50.58167978
12610,20512.84701,0.471167547,1.517240535,0.495608241,40.05161812,53.81412675,0,0.234708921,50.74638266
